iddemandaseguimiento,iddemandapto,fechasegdem,estado,fuente,referenciafuente,datoscontacto,seguimiento,observaciones
85,68,2026-05-21T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, ING. LUCIO LIPA",NOTA DE RESPUESTA NOTA SEGUN CITECAR/MDPRyA/VDAyDI/DGPPAP/UGMAP N°0098/2026GPPAP/UGMAP,JAIME TICONA HURTADO (STRIO EJECUTIVO)-LUIS ROCHA FERNANDEZ (STRIO GRAL),PARA EL APOYO A PRODUCTORES HORTICOLAS SE VIENE ELABORANDO EL PROGRAMA NACIONAL DE HORTALIZAS DONDE SE CONSIDERARA DESPUES DE UN ESTUDIO PARA EL FORTALECIMIIENTO DE LA SEGURIDAD ALIMENTARIA DEL DEPARTAMENTO DE ORURO ,NINGUNA
86,124,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 30 de junio de 2026 se sostuvo reunión,Dandy Mallea,Se tiene planificado realizar la feria del pan el 10 y 11 de septiembre,
87,144,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 02 de agosto se sostuvo reunión con el demandante,Raul Ortiz Garnica,En reunión del 02 de septiembre se asumió el compromiso de iniciar una Mesa de Trabajo para analizar la importación de harina de trigo,
88,59,2026-09-15T04:00:00.000Z,EN PROCESO,BASE DE DATOS DIRECCI[ON GENERAL DE RECURSOS HIDRICOS Y RIEGO,BASE DE DATOS DIRECCI[ON GENERAL DE RECURSOS HIDRICOS Y RIEGO,ELIAS TRIGO 72852259,"SE CUENTA CON UN PROGRAMA GESTIÓN RESILIENTE DEL AGUA PARA RIEGO COMUNITARIO Y FAMILIAR FINANCIADO CON EL BANCON MUNDIAL QUE PUEDE ATENDER PROYECTOS DE RIEGO MENOR, MANEJO INTEGRAL DE CUENCAS, Y RIESGO HIDROLOGICOS, EL CUAL ESTA ENFOCADO EN APALEAR EL TEMA DE SEGUIAS Y LOS EFECTOS DEL CAMBIO CLIMÁTICO. CUYO PROGRAMA SE ENCUENTRA VIGENTE A LA FECHA.


ESTADO ACTUAL DE LOS CUATRO PROYECTOS DE RIEGO PRIORIZADOS CON EL PROGRAMA GESTION RESILIENTE:

1.-MEJORAMIENTO SISTEMA DE RIEGO TECNIFICADO CALA CALA (SORACACHI) - EL PROYECTO FUE PUBLICADO 04/09/2026 SE ESPERA LA FECHA DE PRESENTACIÓN DE PROPUESTAS HASTA EL 06/10/2026, SE ENCUENTRAN PUBLICADOS LOS PROCESOS PARA SUPERVISIÓN Y FORATP 

2-MEJORAMIENTO SISTEMA DE RIEGO TECNIFICADO HUALLCA (SANTIAGO DE HUARI) - EL PROYECTO FUE PUBLICADO 09/09/2026 SE ESPERA LA FECHA DE PRESENTACIÓN DE PROPUESTAS HASTA EL 05/10/2026, SE ENCUENTRAN PUBLICADOS LOS PROCESOS PARA SUPERVISIÓN Y FORATP 

3.-CONSTRUCCIÓN SISTEMA DE RIEGO TECNIFICADO PASTO DE LOBOS (GAIOC SALINAS) - SE ENVÍO A LA UTEP PATRIA AGUA PARA LA PREPARACIÓN DE DOCUEMENTOS DE SOLICITUD DE PROPUESTAS PARA OBRA. SE ENCEUNTRA PUBLICADO EL FORATP DESDE EL 01/09/2026 LA FECHA ESTIPULADA PARA LA PRESENTACIÓN ES EL  16/09/2026

4.-MEJORAMIENTO SISTEMA DE RIEGO TECNIFICADO CHILCANI (SANTIAGO DE HUAYLLAMARCA) - SE ENVÍO A LA UTEP PATRIA AGUA PARA LA PREPARACIÓN DE DOCUEMENTOS DE SOLICITUD DE PROPUESTAS PARA OBRA, SUPERVISIÓN Y FOARTP AL PPCR.

EN EL MARCO DEL PROGRAMA GESTIÓN RESILIENTE, SE HAN PRIORIZADO LOS SIGUIENTES PROYECTOS, LOS CUALES SE ENCUENTRAN EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DE LOS RESPECTIVOS CONVENIOS:
•MANEJO INTEGRAL DE LA MICROCUENCA DEL RÍO VENTA Y MEDIA: EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DEL CONVENIO.
•MANEJO INTEGRAL DE LA MICROCUENCA KHONCHU MAYU: EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DEL CONVENIO.
•MANEJO INTEGRAL DE LA MICROCUENCA DEL RÍO BERENGUELA: EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DEL CONVENIO.
",
89,154,2026-10-27T04:00:00.000Z,EN PROCESO,VDAyA,ING. LIPA,#CEL 75165998,SE ESTA A LA ESPERA DE LA PRESENTACION DEL EDTP,NINGUNA
90,155,2026-08-27T04:00:00.000Z,EN PROCESO,VDAyA,acta firmada ,INTALENCIO ZAMBRANA # cel 63412134,se coordinara una reunion con la asociacion civil respecto de la viabilidad de su solicitud ,sin observacion 
91,156,2026-08-27T04:00:00.000Z,EN PROCESO,VDAyA,ACTA,Aurelio Lipa Ch. ,se esta haciendo seguiiento al acta de reunon de fecha 28 de agosto,se esta a la espera del acta firmada 
92,157,2026-08-27T04:00:00.000Z,EN PROCESO,vdadi ,acta firmada el 27 de agosto de 2026 ,Aurelio Lipa Ch. ,se esta haciendo el seguimiento ,ninguna 
93,129,2026-09-21T04:00:00.000Z,EN PROCESO,BASE DE DATOS DGRHYR y DGAPSB,REPORTES DGRHYR y DGAPSB,"ELIAS TRIGO 72852259, RAMIRO GALAN 72222739","PUNTO 4. REQUERIMIENTO DE ALCANTARRILLADO Y AGUA POTABLE. 
VSHASByR - DIRECCIÓN GENERAL DE RECURSOS HIDRICOS Y RIEGO
EN FECHA 08/07/26 EL GAM COMANCHE INGRESO EL EDTP PROYECTO “CONSTRUCCIÓN SISTEMA DE RIEGO SUNIMURO (COMANCHE)” EL CUAL FUE REMITIDO AL GAM EL 18/08/26 CON OBS. Y NO HAN DADO ATENCIÓN HASTA LA FECHA. EN FECHA 02/09/26 INGRESARON EL DOCUMENTO CORREGIDO SIN EMBARGO, SE PROCEDIO A REVISAR Y SE CONSTATO QUE SIGUE CON OBSERVACIONES Y SE REMITIO AL GAM EN FECHA 14/09/26.

DE IGUAL MANERA INGRESARON EL ITCP PROYECTO ""CONSTRUCCION SISTEMA DE RIEGO COMUNIDAD AYLLU ORIGINARIO CHIACATA""  Y SE REMITIO el 26/08/26 AL GAM CON OBSERVACIONES, SE ESTA REALIZANDO SEGUIMIENTO PARA QUE DEN ATENCIÓN A LAS OBSERVACIONES. LA SEGUNDA SEMANA DE SEPTIEMBRE EL GAM INGRESO EL ITCP AL SEDERI PARA QUE PROCEDAN A SU CORRECCIÓN QUIENES DEBEN DAR ATENCIÓN EN 10 DÍAS HABILES.
DIRECCION GENERAL DE AGUA POTABLE: 
CONSIDERANDO QUE LAS DOS REUNIONES DE COORDINACIÓN PREVIAMENTE PROGRAMADAS CON REPRESENTANTES DE LA PROVINCIA PACAJES, EN INSTALACIONES DEL VICEMINISTERIO DE SEGURIDAD HÍDRICA, AGUA, SANEAMIENTO BÁSICO Y RIEGO, Y LA OTRA REALIZADA EL DIA 07/09/26 EL VSHASByR  EN EL MUNICIPIO DE WALDO BALLIVIAN NO PUDIERON CONCRETARSE POR LA FALTA DE LA PRESENCIA DE TODOS LOS MUNICIPIOS, SE ACORDÓ REPROGRAMAR UNA NUEVA REUNIÓN DE COORDINACIÓN EN EL MUNICIPIO DE COROCORO, PARA EL DÍA 19 DE SEPTIEMBRE DE 2026, A HORAS 08:30.
EN FECHA 19/09/26 SE SOSTUVO LA REUNIÓN REPROGRAMADA CON LA PROVINCIA  PACAJES EN EL MUNICIPIO DE CORO CORO DONDESE SOCIALIZÓ EL REGLAMENTO PARA LA PRESENTACIÓN DE PROYECTOS, ENFATIZANDO LOS REQUISITOS CLAVE, PARA LOS SISTEMAS DE AGUA POTABLE ES OBLIGATORIO GARANTIZAR LA DISPONIBILIDAD Y CONTINUIDAD DE LAS FUENTES DE AGUA, MIENTRAS QUE PARA LOS PROYECTOS DE ALCANTARILLADO SE DEBE ACREDITAR EL DERECHO PROPIETARIO DEL PREDIO DESTINADO A LA PTAR.
•	PARA FECHA 24 DE SEPTIEMBRE SE LLEVARÁ A CABO UNA REUNIÓN EN LA CASA DEL PUEBLO PARA EVALUAR LOS COMPROMISOS DE REUNIONES ANTERIORES.
•	EL VICEMINISTRO SANTAMARIA, SE COMPROMETIÓ DE HABLA CON LA VICEMINISTRA ING VIVIANA MARISCAL, PARA ABRIR UNA OFICINA TÉCNICA EN EL TELEFÉRICO MORADO, PARA BRINDAR ASISTENCIA TÉCNICA EN PROYECTOS DE AGUA POTABLE Y RIEGO PARA QUE LOS MUNICIPIOS PUEDAN ACUDIR Y RECIBIR ORIENTACIÓN EN SUS PROYECTOS.
NO SE FIRMARON COMPROMISOS POR PARTE DE LOS TÉCNICOS DEL VSHASBYR.","EL MUNICIPIO INGRESO EDTPs DE PRPOYECTOS DE AGUA POTABLE Y ALCANTARILLADO PERO ESTOS FUERON OBSERVADOS Y DEVUELTO CON OBSERVACIONES Y A LA FECHA NO VOLVIERON A INGRESAR AL VICEMINISTERIO LOS DOCUMENTOS SUBSANADOS.

SE TIENE REPROGRAMADA UNA REUNIÓN CON TODOS LOS MUNICIPIOS DE LA PROVINCIA PACAJES PARA EL DÍA 19 DE SEPTIEMBRE DE 2026, A HORAS 08:30. EN EL MUNICIPIO DE COROCORO"
95,159,2026-09-09T04:00:00.000Z,CONCLUIDO,CARTA ,,,,DGDF
96,123,2026-09-10T04:00:00.000Z,CONCLUIDO,Lista de participantes,En fecha 09 de septiembre se  realizó el CONECTA PAN en la ciudad de La Paz,Elizabeth Galarza,En fecha 09 de septiembre se  realizó el CONECTA PAN en la ciudad de La Paz,"Se concretó también realizar el CONECTA PAN en Trinidad, Cochabamba y Tarija, con los productores independientes"
97,127,2026-09-15T04:00:00.000Z,EN PROCESO,BASE DE DATOS DIRECCION GENERAL DE RECURSOS HIDRICOS Y RIEGO,BASE DE DATOS DIRECCION GENERAL DE RECURSOS HIDRICOS Y RIEGO,ELIAS TRIGO 72852259,"VICEMINISTERIO DE SEGURIDAD HIDRICA, AGUA, SANEAMIENTO BASICO Y RIEGO PUNTO  3. Construcción de reservorios de agua para microriego y riego a goteo.
 
CON EL PROGRAMA ""GESTIÓN RESILIENTE DEL AGUA PARA RIEGO COMUNITARIO Y FAMILIAR"", SE PRIORIZÓ LOS ITCPS ""AMPLIACIÓN SISTEMA DE RIEGO AZAMBO"" -LURIBAY, QUE BENEFICIA A 87 FAMILIAS Y 50,2 HA DE RIEGO Y CONSTRUCCION SISTEMA DE RIEGO COMUNIDAD MALAVI (SAPAHAQUI) QUE BENEFICIARIA A 66 FAMILIAS Y 49.67 HECTAREAS . LA LICITACIÓN PÚBLICA DE ESTOS ESTUDIOS INICIARÁ APROXIMADAMENTE EN LA TERCERA SEMANA DE SEPTIEMBRE.

EN FECHA 09/09/2026 SE SOSTUVO UNA REUNIÓN INFORMATIVA CON LA PROVINCIA LOAYZA EN EL ALTO DONDE ESTUVIERON PRESENTES LOS ALCALDES DE TODOS LOS MUNICIPIOS Y REPRESENTANTES DE DIFERENTES VICEMINISTERIOS, COMO VICEMINISTRIO DE SEGURIDAD HIDRICA, AGUA, SANEAMINTO BASICO Y RIEGO SE INFORMO SOBRE LOS PROGRAMAS DE RIEGO Y AGUA POTABLE CON LOS QUE SE CUENTA DE IGUAL MANERA SE DIO A CONOCER EL PROCEDIMIENTO QUE SE DEBE SEGUIR PARA LA PRESENTACIÓN DE ITCP O EDTP ADEMAS DE FACILITAR EL QR EN LA QUE SE BRINDA TODA LA INFORMACION TECNICA Y LOS MODELOS DE DOCUMENTOS DE PRESENTACION. ",A LA ESPERA DE LA LICITACIÓN PUBLICA
98,117,2026-09-15T04:00:00.000Z,CONCLUIDO,Nota,Se remitió nota CAR/MPSMAyA/VCLIyDUC/DGC/UDPCI N° 0315/2026,Gerónimo Choque Callata,Se cuenta con nota remitida a la ATT,
99,119,2026-09-15T04:00:00.000Z,CONCLUIDO,Nota interna emitida,"El VDAyA coordinó con el BDP la vigencia de un FIDEICOMISO para el sector porcícola, en tal sentido, el VDADI estionó  reunión con el BDP.",Gerónimo Choque Callata,Se emitió nota correspondiente,
100,122,2026-09-15T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 14 de septiembre se sostuvo comunicación con EMAPA para ver estado del Decreto Supremo,Sergio Siles,El proyecto de Decreto Supremo se encuentra en consulta con el MEFP para el análisis de presupuesto,El proyecto de Decreto Supremo se analizó en UDAPE y aún sigue en análisis para su aprobación
101,160,2026-08-25T04:00:00.000Z,CONCLUIDO,VDAyA,ACTA DE REUNON DE FECHA 25 DE AGOSTO DE 2026,VICTORIA APAZA-STRIA EJECUTIVA-BARTOLINA SISA PROV. MURILLO ,SE REALIZO EN FECHA 25 DE AGOSTO EN REUNION AMPLIADA ,SIN OBSERVACIONES
102,161,2026-09-17T04:00:00.000Z,EN PROCESO,VDAyA ,ACTA DE REUNION DE FECHA 24 DE AGOSTO DE 2026,MARGARITA HUANCOLLO #CEL 73556102,SE ESTA A LA ESPERA DEL ACTA DE REUNION PREVISTA PARA EL 18 DE SEPT.,A ESTA FECHA SIN OBSERVACION 
103,162,2026-09-17T04:00:00.000Z,CONCLUIDO,VDAyA,ACTA DE REUNION ,LUCIO LIPA ,SE REALIZO EL RESPECTIVO SEGUIMIENTO ,"NINGUNA, LA DEMANDA DE INFORMACION DE PROGRAMAS Y PROYECTOS YA FUE ATENDIDA"
104,163,2026-09-17T04:00:00.000Z,EN PROCESO,VDAyA ,ACTA DE REUNION ,EDUARDO TUPA VILLCA,SE ESTA REALIZANDO EL SEGUIMIENTO,A ESTA FECHA SIN OBSERVACION
105,164,2026-09-17T04:00:00.000Z,CONCLUIDO,VDAyA,ACTA DE REUNION,ADHEMAR IGOR CHOQUE-ALCALDE ,SE REALIZO EL REGISTRO Y ARCHIVO CORRESPONDIENTE ,SIN OBSERVACIONES 
106,165,2026-09-17T04:00:00.000Z,EN PROCESO,VDAyA ,ACTA DE REUNION ,JUAN LIMACHI-JILIRI MALLKU-77220398,SE ESTA REALIZANDO EL SEGUIMIENTO CORRESPONDIENTE,A LA FECHA NO SE TIENE OBSERVACIONES 
107,166,2026-09-17T04:00:00.000Z,CONCLUIDO,VDAYA,ACTA DE REUNION,YHAMIL HERRERA-69723763,AUN NO REQUIERE,SIN OBSERVACIONES
108,168,2026-09-17T04:00:00.000Z,CONCLUIDO,VDAYA,ACTA DE FECHA 27 DE JULIO DE 2026,MARCO IRIARTE GOITIA,SE REALIZO EL SEGUIMIENTO,NINGUNA 
109,169,2026-09-17T04:00:00.000Z,CONCLUIDO,VDAYA,ACTA DE REUNION,LUCIO LIPA CHAVEZ ,SE CONCLUYO CON EL SEGUIMIENTO,NO TIENE OBSERVACIONES 
110,171,2026-09-17T04:00:00.000Z,EN PROCESO,VDAYA,ACTA DE REUNION,LUCIO LIPA,SE ESTA REALIZANDO EL SEGUIMIENTO,EN PLAZO
111,122,2026-09-22T04:00:00.000Z,EN PROCESO,Seguimiento,Llamada telefónica,Sergio Siles,"EMAPA emitirá informe complementario para aprobación de 180 millones de Bs en calidad de fondo rotativo, para continuar con la aprobación del Decreto Supremo. Posterior a la aprobación del Decreto Supremo, es necesario realizar la socialización del programa con el sector y la aprobación del Reglamento Operativo por parte de EMAPA.","El proyecto de DS se encuentra en UDAPE.
Se tiene previsto la validación de la hoja de costos de producción del pan para el 01 de octubre de 2026"
112,124,2026-09-22T04:00:00.000Z,EN PROCESO,REUNIÓN,Se sostuvo reunión el 08 de septiembre de 2026,Dandy Mallea,"A solicitud del sector, se postergó la feria del pan para el 01 de octubre de 2026.",
114,144,2026-09-22T04:00:00.000Z,EN PROCESO,Seguimiento,En fecha 16/09/26 el sector solicitó modificar la fecha de la Mesa de  Trabajo,Raul Ortiz Garnica,Se sostuvo reunión con el Sr Raúl Ortiz quien solicitó modificar la fecha del taller para el 23/09/26 y que también se convoque a EMAPA,"Aduana Nacional y SENASAG, fueron notificados con la modificación de la fecha, se remitió nota a EMAPA para su asistencia."
115,114,2026-09-22T04:00:00.000Z,EN PROCESO,Seguimiento,DGDDUC,Luis Sanga,"En fecha 19/09/26 se realizó el verificativo en la feria de ganado de Patacamaya de forma conjunta con SENASAG, CONTRACABOL, Policía Nacional y el GAM de Patacamaya",La DGDDUC y SENASAG emitirán informes para remisión al CEOLCC y al GAM de Patacamaya
116,172,2026-09-22T04:00:00.000Z,CONCLUIDO,Lista de participantes,Brigada Parlamentaria de La Paz,Claudia Bilbao Espinosa,Se concretó reunión en fecha 17/09/26 con los actores involucrados acordando nueva reunión para fecha 28/09/26,La brigada solicitó sugerencias para modificación de la Ley 100 de Lucha contra el contrabando.
117,173,2026-09-22T04:00:00.000Z,EN PROCESO,Lista de participantes,Brigada Parlamentaria de La Paz,Claudia Bilbao Espinosa,Se acordó nueva reunión para el 28/09/26 a fin de analizar propuestas de modificación normativa,"Esta atribución es netamente el VLCC, sin embargo, como el mismo afecta al abastecimiento interno de carne de res, el VCLIDUC particIpa en calidad de apoyo en la coordinación interinstitucional con SENASAG y EMAPA"
118,179,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,"En elaboración del proyecto piloto de capacitación, diseño e implementación de crianza de cuyes en coordinación con PRO-BOLIVIA.",Semáforo verde; sin conflicto ni medidas de presión.
119,180,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,"En elaboración del proyecto piloto para la capacitación, diseño e implementación de crianza avícola.",Semáforo verde; sin conflicto ni medidas de presión.
120,181,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,En coordinación y formulación de la propuesta para la dotación de semillas de papa y hortalizas con asistencia técnica.,Semáforo verde; sin conflicto ni medidas de presión.
121,182,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,En estructuración del proyecto piloto de construcción e implementación de carpas solares en la zona.,Semáforo verde; sin conflicto ni medidas de presión.
122,183,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,Evaluación y seguimiento a las propuestas de apoyo en forraje y corrales abiertos para ganado lechero.,Semáforo verde; sin conflicto ni medidas de presión.
123,184,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,En proceso de evaluación técnica para la generación del proyecto de infraestructura e implementación de invernaderos.,Semáforo verde; sin conflicto ni medidas de presión.
124,174,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,Atención y sistematización de requerimientos del sector lácteo en reuniones con autoridades municipales y originarias de Corque y Totora.,Semáforo verde; demandas productivas en proceso de gestión sin medidas de presión.
125,175,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,Coordinación interinstitucional y evaluación de alternativas de apoyo al sector agrícola en ambos municipios.,Semáforo verde; demandas productivas en proceso de gestión sin medidas de presión.
126,176,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,"Articulación entre el Viceministerio, PRO-BOLIVIA y los GAMs de Corque y Totora para la promoción de PYMEs.",Semáforo verde; demandas productivas en proceso de gestión sin medidas de presión.
127,177,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,Identificación de requerimientos de infraestructura productiva y evaluación de proyectos según competencias institucionales.,Semáforo verde; demandas productivas en proceso de gestión sin medidas de presión.
128,178,2026-09-21T04:00:00.000Z,EN PROCESO,Informe Técnico,INF/MPSMAYA/VPISYA N° 0025/2026,Gustavo Jáuregui Gonzáles - Viceministro VPISYA,Articulación interinstitucional con las autoridades originarias y GAMs de Corque y Totora para el seguimiento de compromisos y generación de mecanismos de apoyo productivo.,Semáforo verde; demandas productivas en proceso de gestión sin medidas de presión.
129,185,2026-09-08T04:00:00.000Z,EN PROCESO,Mesa de Trabajo,Acta / Acuerdos Mesa de Trabajo Zafra 2026,Gerencia General de EASBA / Asesor del Diputado Edgar Zegarra,EASBA asumió el compromiso de redactar y enviar el proyecto de ley corta al equipo legal de la diputación.,Gestión orientada a viabilizar mecanismos normativos para la empresa y la zafra.
130,186,2026-09-08T04:00:00.000Z,EN PROCESO,Acta / Acuerdos Mesa de Trabajo Zafra 2026,Acta / Acuerdos Mesa de Trabajo Zafra 2026,Gerencia General de EASBA / Dirigencia Cañera,EASBA se comprometió a dar prioridad a la recepción y cosecha de los cañeros de la provincia una vez arranque la Zafra.,Compromiso crítico para evitar pérdidas de sacarosa por retrasos del cronograma inicial.
131,187,2026-09-08T04:00:00.000Z,EN PROCESO,Mesa de Trabajo,Acta / Acuerdos Mesa de Trabajo Zafra 2026,Asesor del Diputado Edgar Zegarra / YPFB,Se coadyuvará desde la brigada/asamblea parlamentaria en la tramitación prioritaria de combustible ante YPFB para asegurar la maquinaria.,Factor externo determinante para asegurar el inicio oportuno de la Zafra 2026.
132,188,2026-09-08T04:00:00.000Z,EN PROCESO,Acta / Acuerdos Mesa de Trabajo Zafra 2026,Acta / Acuerdos Mesa de Trabajo Zafra 2026,Asesor del Diputado Edgar Zegarra / Ministerio de Economía y Finanzas Públicas,Apoyo parlamentario para agilizar ante el MEFP la aprobación de procedimientos de contratación directa que agilicen insumos.,Busca subsanar demoras operativas en licitaciones de EASBA.
133,189,2026-09-08T04:00:00.000Z,EN PROCESO,Mesa de Trabajo,Acta / Acuerdos Mesa de Trabajo Zafra 2026,EASBA / Instancias del Ejecutivo,Las autoridades e instancias correspondientes emitirán respuesta oficial por escrito a la solicitud del sector.,Requerimiento formal del sector cañero para dar respaldo técnico y jurídico.
134,190,2026-09-24T04:00:00.000Z,CONCLUIDO,a,a,a,a,sin obs
