iddemandapunto,idprincipal,puntonro,descripcionpto,resultadopto,fechaplazo,responsabledemandante,responsabledemandado
137,276,1,LA FEDERACION SOLICITAN INFORMACION DE PROGRAMAS Y PROYECTOS ORIENTADOS AL FORTALECIMIENTO PRODUCTIVO E INNOVACION AGROPECUARIA,"CON LA PARTICIPACION DEL  VDADI, INIAF, IPDSA Y EL  SENASAG SE INFORMO DE TODOS LOS PROYECTOS EJECUTADOS Y EN EJECUCION. ",2026-05-07T21:10:00.000Z,HERBERT QUISPE JURADO - RPTE DE LA FEDERACION SINDICAL UNICA DE COMUNIDADES CAMPESISNAS DE TARIJA,VDADI-INIAF-SENASAG-IPDSA
138,277,1,REVISION DE PROGRAMAS Y PROYECTOS PARA LA COMUNIDAD DE AMBANA,"SE BRINDO LA INFORMACION REQUERIDA DANDO A CONOCER LOS PROGRAMAS Y PROYECTOS EJECUTADOS, EN EJECUCION Y LOS PROGRAMASDOS. ",2026-05-06T20:30:00.000Z,WILSON LISMO MAMANI,VDADI-VICEMNISTRO KAREL RIVERO
139,278,1,REQUIERE ACLARACION RESPECTO DEL REGLAMENTO 3318 DEL VDADI,SE OFRECE LA GENERACION DE MESAS TECNICAS PARA ELABORAR PROPUESTAS EN BASE A SUS NECESIDADES ,2026-05-05T16:30:00.000Z,MARIO CONDORI - PRESIDENTE CODEPCOCACOCA ,"VDADI-VICEMNISTRO KAREL RIVERO, MARIA BELEN PERALTA"
140,279,1,"EL GAM COMBAYA SOLICITA AL VDADI EL PPOYO PARA LA PRODUCCION DE FRUTAS, PAPA Y HORTALIZAS ",SE CONSIDERARA LA PETICION E INCLUSION  DE CAMBAYA EN LOS PROGRAMAS DE FRUTAS DE VALLE Y EL PROGRAMA PAPA. ,2026-07-02T14:30:00.000Z,DIEGO POMA- CONCEJAL DEL GAM CAMBAYA,"VDADI-VICEMNISTRO KAREL RIVERO,, ERIKA FERRUFINO UCAFFNM"
141,280,1,SOLICITAN INFORMACION DE PROGRAMAS Y PROYECTOS ,"SE BRINDO INFORMACION SOBRE PROGRAMAS Y PROYECTOS. 
LOS ACTORES PRODUCTIVOS HARAN LLEGAR SUS REQUERIMIENTOS PARA EL PROGRAMA PAR III Y POZOS",2026-06-19T17:30:00.000Z,FEDERACION SINDICAL UNICA DE TRABAJADORES INDIGENAS ORIGINARIOS CAMPESIINOS REGIONAL NORTE DE LA CHIQUITANIA ,VDADI
142,281,1,EL GAM DE ARQUE  SOLICITA SU INCORPORACION COMO MUNICIPIO BENEFICIARIO DE APROCAM Y DEL PROGRAMA NACIONAL FRUTAS DEL VALLE ,SE TOMO EN CUENTA LA SOLICITUD REQUERIDA ,2026-08-18T19:30:00.000Z,ROGER ARIAS ORELLANA - GAM  DE ARQUE ,VDADI- ERIKA FERRUFINO 
143,282,1,SOLICITAN INCORPORACION AL PROGRAMA NACIONAL DE PRACTICAS AGROFORESTALES Y AL PROGRAMA DE AGRICULTURA FAMILIAR Y RESILIENTE. ,SE TOMO EN CUENTA LAS SOLICITUDES REQUERIDAS ,2026-08-10T15:30:00.000Z,GRACIELA CUEVAS TORREZ- STRIA GRAL BARTOLINA SISA-MUNICIPIO DE MECAPACA RIO ABAJO ,VDADI - ERIKA FERRUFINO 
144,283,1,Solicitud de viabilización de mecanismo interinstitucional para la importación de harina de trigo destinada a panificadores para mantener el precio social del pan.,"Concreción de mesas de trabajo con VCLIyDUC, SENASAG y ADUANA NACIONAL",2026-09-27T04:00:00.000Z,UNIDOS EN ACCION,VCLIyDUC - SENASAG
145,285,1,Las organizaciones de Nor y Sud Cinti cuestionan que la FUTPOCH se atribuya la representación de la región y solicitan que se reconozca a sus organizaciones como representantes legítimas de los Cintis,Se promovió el diálogo entre las organizaciones sociales y las autoridades competentes para atender las demandas planteadas. Hace seguimiento la Brigada Parlamentaria de Chuquisaca,2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Viceministerio de Electricidad y Energías Renovables
146,285,2,"Las organizaciones sociales exigen la inmediata ejecución y conclusión del Proyecto Triangular Cinteño, considerado estratégico para la integración y desarrollo económico de las provincias Nor y Sud Cinti",Se acordó priorizar el tratamiento de las demandas regionales y realizar seguimiento a los proyectos pendientes y compromisos asumidos. Hace seguimiento el Gobierno Nacional / Autoridad Competente en Infraestructura Vial,2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Gobierno Nacional / Autoridad Competente en Infraestructura Vial
147,285,3,Se exige garantizar la continuidad y funcionamiento del Hospital de Segundo Nivel de San Lucas como servicio fundamental para la población del municipio y la región,El Viceministerio de Salud manifestó su predisposición para revisar las necesidades específicas de los municipios y señaló inversiones previstas para fortalecer infraestructura y equipamiento en salud. Hace seguimiento el Viceministerio de Salud / Autoridades de Salud Competentes,2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Viceministerio de Salud / Autoridades de Salud Competentes
148,285,4,"Las organizaciones demandan garantizar la electrificación rural de las comunidades de la región para mejorar las condiciones de vida, producción y acceso a servicios básicos",El Viceministerio informó sobre avances en electrificación rural y señaló la posibilidad de abordar proyectos mediante paneles fotovoltaicos. Se identificaron alternativas de electrificación mediante energías renovables para comunidades rurales. Hace seguimiento el Viceministerio de Electricidad y Energías Renovables,2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Viceministerio de Electricidad y Energías Renovables
149,285,5,"Las organizaciones exigen la reactivación y puesta en funcionamiento de la Represa de Corma, proyecto considerado estratégico para el desarrollo productivo, agrícola y social de San Lucas y la región. Proyecto paralizado desde hace varios años, según el pliego petitorio",Se planteó la necesidad de abordar las demandas de riego y recursos hídricos dentro de las mesas de trabajo y realizar seguimiento a los proyectos pendientes. Hace seguimiento la Autoridad Competente en Riego y Recursos Hídricos,2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Autoridad Competente en Riego y Recursos Hídricos
150,285,6,"Las organizaciones solicitan documentación, información y socialización oficial sobre el Proyecto El Carrizal y sus posibles impactos en las comunidades de la región","Se informó que se explicarán los alcances del Proyecto Carrizal y otros proyectos energéticos vinculados a la región. La demanda se centra en la socialización, información oficial y esclarecimiento de los alcances e impactos del proyecto. Hace seguimiento el Viceministerio de Electricidad y Energías Renovables",2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Viceministerio de Electricidad y Energías Renovables
151,285,7,"Las organizaciones exigen el funcionamiento pleno e inmediato de las plantas de industrialización para generar empleo, movimiento económico y beneficios directos para las comunidades productoras de la región","El Viceministerio manifestó interés en fortalecer cadenas productivas integrales y trabajar coordinadamente con los actores locales para definir proyectos acordes a la realidad productiva de los Cintis. Demanda relacionada con la industrialización, generación de empleo y fortalecimiento de las cadenas productivas regionales. Hace seguimiento el Viceministerio de Políticas de Industrialización",2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Viceministerio de Políticas de Industrialización
152,285,8,Las organizaciones demandan mantenimiento permanente de las carreteras de competencia departamental debido al deterioro de las vías y solicitan al Gobernador constituirse en la región para sostener una reunión directa con los sectores sociales y autoridades,Se planteó la necesidad de fortalecer la coordinación con las autoridades municipales y departamentales y establecer espacios de diálogo para atender las demandas regionales. La demanda comprende mantenimiento vial y coordinación directa entre el Gobierno Departamental y las organizaciones sociales de Nor y Sud Cinti. Hace seguimiento el Gobierno Autónomo Departamental de Chuquisaca,2026-10-01T04:00:00.000Z,Federación Sindical Única de Trabajadores Campesinos de Nor y Sud Cinti,Gobierno Autónomo Departamental de Chuquisaca
153,286,1,"el GAM de PUCARANI demanda la Planificacion para la socializacion de programas y proyectos a realizarse en las instalaciones del GAM DE PUCARANI con la participacion del Alcalde, Concejales, centrales agrarias, ","se acordó realizar la socializacion de programas y proyectos en el municipio de Pucarani con presencia de autoridades municipales y actores sociales, SIN EMBARGO LAS AUTORIDADES SOLICITANTES MANDARAN UNA NOTA DIRIGIDA AL MINISTRO DEL SECTOR PARA SU PROGRAMACION EN INCLUSION EN SU AGENDA MINISTERIAL",2026-11-04T04:50:00.000Z,"JESUS HUANCA CANAZA , CEL 68214591","VDAyA , INg. Lucio Lipa # cel 75165998"
154,287,1,"la subalcaldia del distrito municipalFranz GAM ACHACACHI  Prov. Omasuyos solicita dos puntos:
1) Informacion de programas y Proyectos Productivos.
2) presentacion del proyecto puente vehicular LLASARAYA ","Se informo sobre la formulacion de programas de pozos y Mi Puente que estan para financiamiento .
Presentaran al Ministro el EDTP Construccion Puente Vehicular LLarasaya con financiamiento de Empoderar. ",2026-10-27T16:20:00.000Z,Sr. Andres Quispe Apaza-SUbalcalde Distrito Municipal Franz Tamayo- GAM ACHACACHI,VDAyA
155,288,1,la asociacion civil concejo  de capitanias guarani -santa cruz CCGSC ,"sE INFORMO sobre programas en etapa de formulacion y el estado actual , referente a la ganaderia de leche y carne los municipios que solicitan inclusion seran analizados (lagunillas y camini) ",2026-10-27T17:41:00.000Z,"INTALENCIO ZAMBRANA - PDTE CCGSC , ",VDAyA
156,289,1,"1)SOLICITA COORDINACION AUDIENCIA ENTRE AUPA, VADYA Y VRHAPSB .",SE COORDINO POR ESO SE FIJO LA FECHA PARA EL DIA SIGUIENTE ,2026-08-28T14:00:00.000Z,ASOCIACION DE USUARIOS PROYECTO ACHACACHI -AUPA,VDAYA - VRHAPSB
157,289,2,2) SOLICITA COORDINACION PARA UNA REUNION CON EL SEÑOR MINISTRO ,ESTA EN PROCESO ,2026-10-27T13:10:00.000Z,ASOCIACION DE USUARIOS PROYECTO ACHACACHI - AUPA ,VDAYA-VRHAPSB
158,291,1,nnbvn,cvbvc,2026-09-10T04:00:00.000Z,COB,MDPRyA
159,293,1,C COLEGIO ,GFDGDFG,2026-09-08T04:00:00.000Z,cob ,abc 
160,297,1,"- PROYECTOS QUE VIENEN SIENDO DESARROLLADOS POR LA ENTIDAD EMPODERAR PAR III, INIAF, RIEGO Y AGUA POTABLE ","EL PAR III presentara el informe del estado de situacion de los 43 proyectos el dia jueves 27 de agosto de 2026 a hrs 14:00 en inmediacion del VDAyA.
El par III informo sobre los alcances de puentes para el desarrollo los cuales contemplan contraparte municipal, se estima su inicio para el mes de octubre.
El INIAF informa que la entidad realiza servicios de certificacion en coordinacion con organizacion de semilleristas. 
El VRHRAySB informo sobre los mecanismos de financiamiento de proyectos con los GAMS tales como el ITCP y EDTP, ",2026-09-25T14:30:00.000Z,VICTORIA APAZA ,VADyA - Ing. Lucio Lipa 
161,298,1,"1.- SOCIALIZACION DE PROGRAMAS Y PROYECTOS.
2.- SOLICITUD DE CAPACITACION Y ASISTENCIA TECNICA-PROYECTOS PRODUCTIVOS","SE HAN SOCIALIZADO LOS PROGRAMAS Y PROYECTOS EN FUNCION A SU VOCACION PRODUCTIVA.
ASI MISMO SE LLEVARA A CABO LA CAPACITACION Y SOCIALIZACION DE EMPRENDIMIENTOS Y PROGRAMAS REFERIDOS A TEMAS DE PAPA, CUYES, GALLINAS DE PORTON, Y FINANCIAMIENTO CON FIREGAPO Y TEMA DE PESCA PARA EL 18 DE SEPTIEMBRE ",2026-10-26T16:30:00.000Z,MARGARITA HUANCOLLO -CENTRAL EJECUTIVA,LUCIO LIPA CHAVEZ
162,299,1,"REQUIEREN SOCIALIZACION DE PROGRAMAS Y PROYECTOS.
- PROGRAMA GANADO DE LECHE.
- PROGRAMA GANADO DE CARNE .
- PROGRAMA POZOS","- SE AGILIZARA EL PROGRAMA DE GANADERIA BOVINA DE LECHE.
- SE APOYARA CON ASISTENCIA TECNICA, MEJORAMIENTO GENETICO, ALIMENTACION TRANSFERENCIA DE TECNOLOGIA. 
- TAMBIEN SE APOYARA CON PROYECTOS DE AGUA A TRAVEZ DEL PROGRAMA USO EFICIENTE DE AGUA SUBTERRANEA.
- ASI MISMO SE INVITA A CUALQUIER HERMANO DE LA COMUNIDAD A LAS OFICINAS PARA COORDINAR. ",2026-08-21T14:30:00.000Z,JUAN PABLO VASQUEZ - ALCALDE GAM CHACARILLA,VDAyA - LUCIO LIPA CHAVEZ 
163,300,1,"A).- REQUIEREN LA SOCIALIZACION DE PROGRAMAS Y PROYECTOS.
B).- REQUIEREN LA VISITA EN SITIO A LA INFRAESTRUCTURA PRODUCTIVA. VISITA COORDINADA CON PROBOLIVIA. ","1).- APOYO EN GESTION DE CERTIFICACION MEDIANTE SENASAG (REGISTRO SANITARIO).
2.- APOYO CON ASISTENCIA TECNICA Y CAPACITACION A LOS HERMANOS PRODUCTORES DE LECHE.
3.- APOYO CON PROYECTOS DE AGUA (RIEGO-MICRORIEGO) PARA LA PRODUCCION DE LECHE.
4.- AGILIZAR LA CULMINACION DE PROGRAMAS Y PROYECTOS. ",2026-09-21T18:00:00.000Z,LUIS MAMANI -ALCALDE,VDAyA
164,301,1,"SE SOLICITA INFORMACION RESPECTO DE LOS PROGRAMAS PRODUCTIVOS, CAMELIDOS, POZOS Y PUENTES PRODUCTIVOS. ",EL VDADI INFORMO SOBRE LA GESTION QUE SE VIENE REALIZANDO SOBRE LOS PROGRAMAS DE CAMELIDOS Y POZOS EN LOS CUALES EL MUNICIPIO DE UNCIA SE ENCUENTRA CONTEMPLADA DENTRO DE LA COBERTURA DE LOS PROGRAMAS . ASI MISMO SE INFORMO SOBRE EL PROGRAMA PUENTES PRODUCTIVOS A LOS CUALES EL MUNICIPIO PUEDE ACCEDER MEDIANTE LA PRESENTACION DE EDTP ,2026-08-20T14:30:00.000Z,ADHEAR IGOR CHOQUE - ALCALDE GAM UNCIA,LUCIO LIPA CHAVEZ 
165,302,1,"1.- SOLICITAN APOYO PARA LA PRODUCCION DE CAMELIDOS Y SISTEMAS DE RIEGO.
2.- SOLICITAN CERCOS PARA LA PROTECCION CONTRA PERROS VAGABUNDOS.","1.- El Viceministerio de Desarrollo Agropecuario y Desarrollo Agroforestal informo sobre el programa camelidos que viene gestionando, aclarando que el GAM de La Paz no esta contemplado, sin embargo se manifesto la predisposicion para gestionar ante el PAR III una vez se realize el lanzamiento a nivel nacional. Para este fin las autoridades de Marka La Cumbre solicitan visitar visita al lugar en coordinacion con el EMPODERAR FECHA A DEFINIR. 
2.- En cuanto al ataque a perros vagabundos las autoridades de Marka La Cumbre debera coordinar con el GAM DE LA PAZ ",2026-10-21T20:30:00.000Z,JUAN LIMACHI AGUILAR - JILIRI MARKA LA CUMBRE,LUCIO LIPA CHAVEZ 
166,303,1,SOLICITAN REUNON INFORMATIVA SOBRE LA CRIANZA DE CAMELIDOS EN EL MUNICIPIO DE CHARAÑA,SE SOCIALIZO EL PROGRAMA PRO RESILIENCIA CAMELIDOS EN EL QUE SE QUEDO EN QUE EL PROGRAMA PROSIGA CON LA GESTION Y SE ACLARO LA MODALIDAD DE IMPLEMENTACION Y TODOS LOS COMPONENTES Y PRESUPUESTOS Y SE SOLICITO A LA SRA DIPUTADA PARA LA APROBACION DEL PROGRAMA EN LA ASAMBLEA. ,2026-09-16T14:00:00.000Z,YHAMIL HERRERA ,LUCIO LIPA
167,305,1,"CON NOTA CITE GAMC/MAE/N-EXT/032/2026 , SOLICITAN LA EJECUCION DEL PROGRAMA PAPA EN LAS COMUNIDADES DEL MUNICIPIO DE CAQUIAVIRI","SE HIZO CONOCER PARTE DE LAS PROPUESTAS QUE SE ENCUENTRAN EN ETAPA DE FORMULACION: RUMIENTES MENORES, CUYES, CAMELIDOS, PISCICOLA , PROPUESTAS QUE ESTAN EN DESARROLLO Y QUE EN LOS MESES SIGUIENTES ESTARA SUJETO A LA APROBACION DE AUTORIDADES Y ASIGNACION / GESTION DE FINANCIAMIENTO.
EN CUANTO AL PROGRAMA CAMELIDOS II, FIDEICOMISO FIREGAPO ACTUALMENTE LOS QUE YA TIENEN FINANCIAMIENTO. 
ASI MISMO SE AGENDA PARA FINALES DE SEPTIEMBRE",2026-09-30T14:00:00.000Z,FROILAN MAMANI CHOQUE - ALCALDE GAMC-# CEL 73072781,ERIKA FERRUFINO JEFA UCAFFNM#76191103
168,306,1,"1.- REQUIEREN LA SOCIALIZACION DE PROGRAMAS Y PROYECTOS DEL SECTOR AGROPECUARIO CON APROVECHAMIENTO DE AGUA.
2.- PROYECTOS DE PERFORACION DE POZOS  
","- SOCIALIZAR PROGRAMAS GANADERIA BOVINA CARNE Y LECHE, PRODUCCION DE PAPA, UNA VEZ QUE SE APRUEBEN , TODAVIA SE ENCUENTRAN EN FASE DE ELABORACION PROGRAMA PAPA Y GESTION DE FINANCIAMIENTO Y APROBACION PROGRAMAS GANADERIA BOVINA CARNE Y LECHE.
SE COMUNICO QUE SU NOTA DE SOLICITUD TAMBIEN FUE REMITIDO AL VICEMINISTERIO DE RECURSOS HIDRICOS, RIEGO AGUA POTABLE Y SANEAMIENTO BASICO Y DIRECCION GENERAL DE RIEGO, SE LE PROPORCIONO LA HOJA DE RUTA N° Y LOS CONTACTOS.  ",2026-07-27T14:00:00.000Z,RUBEN SANTOS MAMANI-STRIO GRAL-#67068640,MARCO IRIARTE GOITIA-TEC. VDAyDI #72002922
169,307,1,"- PROYECTOS DE PRESA Y SISTEMAS DE RIEGO.
- PROYECTOS PRODUCTIVOS.","- SE INFORMO QUE LOS PROYECTOS DE PRESA Y SISTEMAS DE RIEGO ESTAN A CARGO DEL VICEMINISTERIO DE RECURSOS HIDRICOS RIEGO AGUA POTABLE Y SANEAMIENTO BASICO, POR LO CUAL SE CANALIZO A AUDIENCIA DE REUNION.
- SE INFORMO SOBRE PROGRAMAS AGROPECUARIOS EN FORMULACION Y GESTION TALE COMO POZOS, CAMELIDOS, CUYES,PARA GANADERIA ENTRE OTRAS. ",2026-07-21T19:30:00.000Z,VICTOR VILLARREAL MAYTA- ALCALDE GAM CHUMA ,LUCIO LIPA CHAVEZ DIRECTOR VDAyDI
170,308,1,"EXPONER Y TRATAR TEMAS DE IMPORTANCIA RELACIONADOS CON EL DESARROLLO PRODUCTIVO, AGROPECUARIO Y RURAL DEL MUNICIPIO DE VILLA CHARCAS. PERTENECIENTE A LA PROVINCIA NOR CINTI DEL DEPARTAMENTO DE CHUQUISACA","- LA ORGANIZACION DE MUJERES BARTOLINA SISA ATRAVES DE LA EJECUTIVA DE LA ORGANIZACION ES QUE PUEDA CONSIDERARSE LA INCLUSION A LOS PROGRAMAS FRUTAS DE VALLE Y AL PROGRAMA CITRICOS EN CONSIDERACION A SU VOCACION PRODUCTIVA DE CITRICOS, DURAZNO,PALTA Y CHIRIMOYA. 
-SE HARA CONOCER AL PROGRAMA APROCAM Y ACCESOS LA PRESENTE SOLICITUD PARA SU CORRESPONDIENTE APOYO AL FORTALECIMIENTO PRODUCTIVO DEL MUNICIPIO DE VILLA CHARCAS. ",2026-09-21T20:30:00.000Z,SULMA CARDOZO TOLAR  #67602846,"ERIKA FERRUFINO GAITE - JEFA UCAFFNM - "" 76191103"
171,309,1,"- PROPUESTA DE SEMILLA DE PAPA.
-VENTA DE SEMILLAS
-TEMA PROYECTOS. ","- EL VICEMINISTERIO REALIZARA EN SUS INSTALACIONES DEL SALON GANDARILLAS LA RUEDA DE NEGOCIOS EN FECHA 21,22 Y 23 DE AGOSTO - FERIA AGROPECUARIA LUGAR POR DEFINIR.
- TEMA PROYECTOS, EL VICEMINISTERIO SE ENCUENTRA EN LA ELABORACION DE PROGRAMA PAPA EN FORMA CONJUNTA CON EL IPDSA QUE ARRANCARA EN FECHA /GESTION 2027",2026-11-10T20:30:00.000Z,WILSON APAZA LIMACHI- #64056449,"LUCIO LIPA - "" 75265998"
172,310,1,Sostener reunión para analizar el fortalecimiento de la lucha contra el contrabando de ganado bovino en pie y carne de res.,"En fecha 17/09/26 se sostuvo reunión convocada por la Brigada Parlamentaria de La Paz, juntamente con FUTECRA, SENASAG, ADUANA NACIONAL, VLCC, CEO-LCC, DIPUTADOS",2026-09-17T04:00:00.000Z,BRIGADA PARLAMENTARIA DE LA PAZ,VLCC
173,310,2,Análisis para modificación de normativas de lucha contra el contrabando,Propuestas de modificación de la Ley 100 y Decretos supremos relacionados,2026-10-31T04:00:00.000Z,BRIGADA PARLAMENTARIA DE LA PAZ,VLCC
174,311,1,Atención y fortalecimiento del sector lácteo,En proceso de gestión y canalización institucional,,Municipios de Corque y Totora,Viceministerio PRO BOLIVIA
175,311,2,Apoyo y fortalecimiento de la agricultura,En proceso de gestión y canalización institucional,,Municipios de Corque y Totora,Viceministerio PRO BOLIVIA
176,311,3,Fortalecimiento y promoción de pequeñas y medianas industrias,En proceso de gestión y canalización institucional,,Municipios de Corque y Totora,Viceministerio PRO BOLIVIA
177,311,4,Infraestructura productiva,En proceso de gestión y canalización institucional,,Municipios de Corque y Totora,Viceministerio PRO BOLIVIA
178,311,5,Apoyo y fortalecimiento de las actividades productivas,En proceso de gestión y canalización institucional,,Municipios de Corque y Totora,Viceministerio PRO BOLIVIA
179,311,6,"Capacitación, diseño e implementación de crianza de cuyes",En proceso de gestión y canalización institucional,,Marka La Cumbre,Viceministerio PRO BOLIVIA
180,311,7,"Capacitación, diseño e implementación de crianza avícola",En proceso de gestión y canalización institucional,,Marka La Cumbre,Viceministerio PRO BOLIVIA
181,311,8,"Dotación de semillas de papa y hortalizas, con asistencia técnica",En proceso de gestión y canalización institucional,,Marka La Cumbre,Viceministerio PRO BOLIVIA
182,311,9,Construcción e implementación de carpas solares para producción de hortalizas,En proceso de gestión y canalización institucional,,Marka La Cumbre,Viceministerio PRO BOLIVIA
183,311,10,Cooperación en forraje y corrales abiertos para ganado vacuno lechero,En proceso de gestión y canalización institucional,,Marka La Cumbre,Viceministerio PRO BOLIVIA
184,311,11,Evaluación y generación de un proyecto de implementación de invernaderos,En proceso de gestión y canalización institucional,,Marka La Cumbre,Viceministerio PRO BOLIVIA
185,314,1,Elaborar y remitir el proyecto de ley corta al asesor del diputado Edgar Zegarra,En proceso / Compromiso asumido,,Asesor del diputado Edgar Zegarra,Gerente de EASBA
186,314,2,Priorizar la cosecha de la caña de los productores una vez iniciada la zafra (segunda quincena de septiembre),En proceso / Previsto para 2da quincena de sept.,2026-09-15T04:00:00.000Z,Productores Cañeros Abel Iturralde,Gerente de EASBA
187,314,3,Coadyuvar en las gestiones para la atención de los requerimientos de diésel ante YPFB,En gestión interinstitucional,,Productores / EASBA,Asesor del diputado Edgar Zegarra
188,314,4,Coadyuvar en las gestiones relacionadas con mecanismos de contratación directa ante el MEFP,En gestión interinstitucional,,EASBA,Asesor del diputado Edgar Zegarra
189,314,5,Gestionar una respuesta formal a la carta presentada por los productores,Pendiente de respuesta formal,,Productores Cañeros Abel Iturralde,Instancias competentes / EASBA
190,320,1,prueb1,,2026-11-24T04:00:00.000Z,COB-Central Obrera Boliviana,-Ministerio de Gobierno
191,320,2,prueb1,,2026-11-23T04:00:00.000Z,COB-Central Obrera Boliviana,-Ministerio de Gobierno
