idactor,idprincipal,fecha,Actores,Asuntos,IntNec,Miedos,Medios,Opciones,Tipoactor,Poder
113,132,2026-02-12T04:00:00.000Z,Diego avila (Pres. Senado),Aprobacion de la Ley del Litio; fiscalizacion de contratos estrategicos.,Cumplir atribuciones constitucionales; equilibrio politico en la nueva legislatura.,Bloqueo legislativo; division interna que impida la gobernabilidad del nuevo periodo.,"Voto legislativo; acuerdos multipartidarios (PDC, Unidad, MAS).",Lobby politico con Asambleistas para lograr aprobar la Ley de Litio.,Apoya al Demandado,90
114,132,2026-02-12T04:00:00.000Z,Roberto Castro (Pres. Diputados,Aprobacion de la Ley del Litio; fiscalizacion de contratos estrategicos.,Cumplir atribuciones constitucionales; equilibrio politico en la nueva legislatura.,Bloqueo legislativo; division interna que impida la gobernabilidad del nuevo periodo.,"Voto legislativo; acuerdos multipartidarios (PDC, Unidad, MAS).",Lobby politico con Asambleistas para lograr aprobar la Ley de Litio.,Apoya al Demandado,90
115,132,2026-02-12T04:00:00.000Z,Qingdao Qianyun Hi Tech New Materials Bolivia Ldta,Poner en marcha las patentes de litio con firma de Conveio con UTO en 2021 y explotar recursos evaporiticos en el Salar de Coipasa,Entrar al negocio del litio en Bolivia,Quedar fuera del negocio del litio.,Poder economico: entrega de medios a la UTO para investigacion.,Realizar acciones de incidencia para entrar al negocio mas adelante,Demandado,50
116,132,2026-02-12T04:00:00.000Z,"Gladys Rocha, Secretaria Ejecutiva de FSUMCAS, (Federacion Sindical unica de Mujeres Campesinas del Altiplano Sud - Bartolina Sisa)",Acompana las acciones que realiza FRUTCAS de Yamile Cruz,"Le interesa adjudicarse contratos para brindar servicios a YLB.
Le interesa mantener sus acuerdos (cobra coimas) con los transportistas de Rio Grande para utilizar sus servicios en YLB.","Teme no obtener las licitaciones que desea en YLB.
Teme que se realicen nuevas elecciones de la directiva de su Federacion y pierda su puesto de Secretaria Ejecutiva.
Teme perder el respaldo del MAS","Poder politico: Respaldo del Gobernador de Potosi, Johnny Mamani, quien es tambien su esposo.
Poder politico: Alianza con Yamile Cruz, Secretaria Ejecutiva de FRUTCAS.",Apoyar a los espacios de dialogo con Yamile Cruz para tratar de lograr posicionarse como actor clave en torno a la tematica del litio.,Demandante,60
117,132,2026-02-12T04:00:00.000Z,Segundino Quispe Mamani (Alcalde Colcha K),Beneficios locales del litio; infraestructura; regalias municipales directas.,Empleo para la zona; proyectos de desarrollo local para comunidades originarias.,Dano ambiental irreversible en los salares; marginacion de la comunidad en decisiones.,Movilizacion municipal; gestion directa ante el nuevo Gobierno Central.,"Promover movilizaciones ante el no cumplimiento de los compromisos (asfaltado del Corredor del Litio)
Dialogar y negociar.",Demandante,70
118,132,2026-02-12T04:00:00.000Z,Autoridades originarias comunidades de Colcha K,"A favor de la explotacion del litio y derivados para fomentar el desarrollo de la region
Preocupacion por los impactos medioambientales
Quieren mas socializacion sobre los impactos","Queden recursos de la extraccion para mejorar el desarrollo a nivel local
Mantener los modos de vida originarios
Apoyo social de las bases comunitarias","Perder el apoyo social de sus bases
A partir de sus acciones de apoyo, generar impactos sobre el medio ambiente y los modos de vida originarios",Poder social: Apoyo de las bases en contra de los proyectos extractivistas,"Realizar movilizaciones contra las autoridades electas a nivel municipal, departamental o estatal",Demandante,75
119,132,2026-02-12T04:00:00.000Z,Dra. Maria Eugenia Garcia (Rectora UMSA),Investigacion academica; convenios de formacion; impacto social del litio.,Proteccion de los derechos de la Madre Tierra; vinculacion cientifica con el Estado.,Perder imagen institucional; politizacion de la investigacion universitaria.,Convenios institucionales; autoridad academica; difusion cientifica.,"Copar el mercado con sus profesionales, en base a sus posiciones.

Generar espacios de informacion publica, capacitacion y direccionar el proceso de industrializacion del litio",Apoya al Demandante,50
120,132,2026-02-12T04:00:00.000Z,Viceministerio de Autonomias,Brindar asesoramiento tecnico a los de proyectos de Autonomias,Tienen interes en que se consolide la segunda Region Autonoma del Pais (Lipez),Tienen temor de no brindar la asistencia tecnica solicitada por los proyectista o implusores de nuevas Autonomias NPIOC,Poder politico: Respaldo de Presidencia del Estado,Generar espacios de capacitacon y aistencia tecnica,Demandado,60
121,132,2026-02-12T04:00:00.000Z,PNUD,"Ver el impacto de las plataformas de gobernanza que permitan generar espacios de dialogo entorno a temas estrategicos.
Generar plataformas de Gobernanza","Analizar el impacto de las plataformas de gobernanza entorno al litio con actores estatales y no estatales.

Apoyar en la socializacion de la ley del litio","Temor a que escale el conflicto que actualmente se encuentra en latencia.

No cumplimiento de Convenios asumidos por el pais.",Asistencia tecnica comparada nacional y regional.,"Reunir actores confrontados en el conflicto.

Generar incidencia tecnica para mejorar la toma de decisiones informadas basadas en nuevas tecnologias.

Promover acuerdos viabilizantes.",Apoya al Demandante,45
122,132,2026-02-12T04:00:00.000Z,GAIOC Salinas,"Generar redito economico y fuentes de trabajo para los pobladores de la GAIOCSA.
Activacion economica de la GAIOCSA mediante la implementacion de proyectos economicos en la region.
Demandan que se respete la Ley de la Reserva Fiscal 2564 que prohibe asentamientos en la costra salina.","Obtener ingresos de la explotacion del litio.
Explotar litio mientras no afecte la calidad y cantidad del agua.
Definir con claridad los limites territoriales con Tahua (Potosi) para la reparticion de regalias.","Le tienen miedo a Tahua, la poblacion cercana de Potosi que colinda con la GAIOCSA ya que esta genera intimidacion constante a la comunidad.
Impactos ambientales negativos relacionados a la destruccion de sus ecosistemas a causa de la explotacion del litio.","Poder social: movilizacion y presion social.
Poder polītico: Acuerdo politico con el Gobierno Central.","Generar movilizaciones para no quedar fuera de las negociaciones de la distribucion de regalias.

Aliarse con otros sectores afines",Demandante,65
123,132,2026-02-12T04:00:00.000Z,GAM Tahua,"Exigen que se realice la socializacion de los proyectos de ley y del proceso de extraccion del litio.
Exigen que las oficinas de YLB esten en Uyuni, y que se cumpla con la promesa electoral del ex Gobernador de Potosi de localizar la -Universidad del Litio- en Tahua.
Demandan que se respete la Ley de la Reserva Fiscal 2564 que prohibe asentamientos en la costra salina.","Tienen el interes y la necesidad es cumplir con mandatos del
exGobernador de Potosi, originario del pueblo, a cambio de favores politicos u otros en beneficio de Tahua.","A quedar desliitimizados por ser el ex Gobernador de su municipio.
Temor de perder oportunidades de mejora para el municipio.","Poder social: Movilizacion de personas, amenazas y generacion de violencia","Generar movilizaciones para no quedar fuera de las negociaciones de la distribucion de regalias, de la localizacion de la Universidad del Litio y de la delimitacion territorial con el Departamento de Oruro.",Demandante,60
124,132,2026-02-12T04:00:00.000Z,Universidad Tomas Frias,"Acuerdo suscrito con YLB para impulsar Proyectos de investigacion y la formacion de profesionales en materia de litio.


Convenio marco de cooperacion academica, cientifica y tecnologica entre UTO/UTF/UMSA con vigencia de cinco anos.


Producir carbonato de litio con tecnologia propia, en su planta de carbonato de litio.",Solicita al Gobierno nacional un apoyo de 500.000 bolivianos para continuar con sus trabajos de investigacion y construir una planta piloto relacionada al litio,"Teme no tener el apoyo del Estado para la produccion de carbonato de litio en la institucion.
Teme que los profesionales formados en la UTF, no sean tomados en cuenta en el proceso de industrializacion.","Poder social: movilizacion y presion social.
Poder politico: convocatoria y legitimidad.","Apoyo del Estado, YLB y a toda empresa que vaya a explotar litio en el sector.",Demandante,70
125,132,2026-02-12T04:00:00.000Z,Universidad Tecnica de Oruro,"Acuerdo suscrito con YLB para impulsar Proyectos de investigacion y la formacion de profesionales en materia de litio.
Convenio marco de cooperacion academica, cientifica y tecnologica entre UTO/UTF/UMSA con vigencia de cinco anos.
Convenio firmado con empresa China QINGDAO QIANYUN con miras a la explotacion de Litio
Desarrollo, junto con YLB, planta experimental piloto de Extraccion Directa de Litio (EDL) en el salar de Coipasa, Oruro.","Le interesa ser un actor clave en el tema coyuntural como la industrializacion del Litio y sus beneficios economicos.
Le interesa desarrollar las plantas de explotacion del litio.
Le interesa que su gente trabaje en las plantas de explotacion del litio.","Teme no obtener ningun redito economico de las negociaciones que se den en torno la industrializacion del Litio.
Teme no obtener licitaciones de YLB","Poder social: movilizacion y presion social.
Poder politico: convocatoria y legitimidad.",Apoyo al Estado y a toda empresa que vaya a explotar litio en el sector.,Demandante,60
126,132,2026-02-12T04:00:00.000Z,Defensoria del Pueblo,Espacios para formacion de estudiantes a traves de pasantias. Investigacion de temas vinculados a movilidad humana.,Proteccion de los Derechos Humanos y de la Madre Tierra.,Perder imagen institucional como defensa de Derechos Humanos. Vinculacion con el Gobierno Central.,Poder institucional: Convenios con academia. Poder social: Trabajo con defensores voluntarios.,Emitir informes defensoriales sobre impactos ambientales y sociales. Emitir informes sobre conflictividad.,Apoya al Demandante,55
127,132,2026-02-12T04:00:00.000Z,Comunidad Mallku Villamar,"Exigen que se realice la firma de un acuerdo con YLB, ya que no recibieron informacion sobre el proceso de extraccion del litio.
Exigen  que YLB pida permiso a las autoridades, para que ingresen al Salar de Pastos Grandes.
No quieren que suceda lo mismo que esta pasando en Uyuni.
Jovenes no quieren que se extraiga e Litio del Salar de Pastos Grandes, porque no estan haciendo consultas, y eso es una injusticia para ellos.","Desean conocer los efectos negativos que causara la explotacion del Litio en el Salar de Pastos Grandes.
Quieres proteger sus aguas dulces porque es para su ganado y sus produccion agricola.
Quieren que sus hijos aprovechen los recursos naturales","Piensan que en Bolivia no existe Justicia y por lo tanto no respetaran el Salar de Pastos Grandes.
No estan convencidos con la Justicia Ambiental,","Poder Social: La comunidad esta muy organizada, existe mucha participacion de jovenes y mujeres.","Estan enviando cartas a YLB para pedirles informacion sobre los contratos y la afectacion del Litio en su territorio.
La gente esta cuidando el Salar porque consideran que destruiran su hàbitat.",Demandante,65
128,132,2026-02-12T04:00:00.000Z,Viceministerio de Energias Alternativas,Brindar operatividad tecnica y transicion energetica.,Necesita reflotar las plantas de EDL y cumplir metas de exportacion (promesa de $us 9.600 MM).,Temen el colapso tecnico total de la planta de Llipi y la perdida de la ventana de mercado.,Gestiona convenios tecnicos y supervisa a la estatal YLB.,Buscar asistencia tecnica de la UE para optimizar plantas.,Demandado,75
129,132,2026-02-12T04:00:00.000Z,Ministerio de Mineria,Extractivismo y control de recursos.,Interes en la reactivacion minera general; necesita pacificar las zonas productoras.,Temen que el litio eclipse la mineria tradicional o genere conflictos con cooperativistas.,Normativa sectorial y fiscalizacion de reservas.,Integrar el litio en una estrategia minera nacional mas amplia.,Demandado,80
130,132,2026-02-12T04:00:00.000Z,Ministerio de Economia,Brindar sostenibilidad financiera.,Necesita divisas urgentes por la crisis de dolares; evalua si YLB es rentable o un lastre.,Temen el impacto del -dano economico- de contratos previos (Rusia/China) en las arcas fiscales.,Auditorias financieras y control del presupuesto de YLB.,Alianzas Publico-Privadas (APP) para reducir el gasto estatal.,Demandado,90
131,132,2026-02-12T04:00:00.000Z,Ministerio de Planificacion,Industrializacion y vision pais a largo plazo.,"Captar inversiones de -alto impacto- (Tesla, Amazon mencionados en su agenda).",Temen que Bolivia quede como simple exportador de materia prima sin valor agregado.,Diseno del Plan Nacional de Desarrollo y busqueda de financiamiento externo.,Priorizar proyectos de baterias sobre solo carbonato.,Demandado,85
132,132,2026-02-12T04:00:00.000Z,Cancilleria,Mantener y generar relaciones exteriores y convenios.,Posicionar a Bolivia como socio confiable tras anos de aislamiento; atraer a la UE.,Temen arbitrajes internacionales si se anulan contratos con Rusia y China.,"Diplomacia economica, foros internacionales (Davos) y misiones bilaterales.",Renegociar contratos previos bajo estandares internacionales transparentes.,Demandado,75
133,132,2026-02-12T04:00:00.000Z,Municipio Coroma (Potosi),Reivindicacion territorial y beneficios.,Exigen limites definidos y el pago directo de regalias para desarrollo local.,Temen la contaminacion de sus suelos y que la riqueza pase de largo hacia La Paz.,Movilizacion social y bloqueos de rutas estrategicas.,Negociar una cuota fija de la renta del litio para el municipio.,Demandante,65
134,132,2026-02-12T04:00:00.000Z,Municipio Coipasa (Oruro),Desarrollo regional y empleo.,Buscan que la industrializacion en el Salar de Coipasa genere empleos locales genuinos.,Temen quedar en segundo plano frente a Uyuni (Potosi) en inversion.,Presion politica regional y alianzas con la Gobernacion de Oruro.,Exigir la construccion inmediata de la planta EDL en su salar.,Demandante,65
135,132,2026-02-12T04:00:00.000Z,Empresa Eramet (Francia),Inversor potencial occidental.,Interes en aplicar su tecnologia de EDL probada y asegurar suministro para Europa.,Temen la inseguridad juridica boliviana y la inestabilidad politica.,Respaldo del Banco Europeo de Inversiones y tecnologia propia.,Participar en las nuevas licitaciones bajo la Ley del Litio 2026.,Apoya al Demandado,50
136,132,2026-02-12T04:00:00.000Z,Empresa Tecpetrol (Argentina),Competidor regional e inversor.,Busca expandir su presencia en el -Triangulo del Litio- aprovechando su experiencia en Argentina.,Temen que los cambios de reglas en Bolivia afecten la rentabilidad.,Capacidad financiera y logistica regional.,Alianza estrategica con YLB para transferencia de -Know-how-.,Apoya al Demandado,45
137,132,2026-02-12T04:00:00.000Z,Empresa ACISA (Alemania),Socio historico -fallido-.,Posible reclamo por el contrato anulado en 2019 o reingreso bajo nuevas condiciones.,Temen que su imagen quede ligada al fracaso del gobierno anterior.,Influencia en la camara de comercio alemana y tecnologia de baterias.,Ofrecerse como socio para la fase final de industrializacion (baterias).,Apoya al Demandante,40
138,132,2026-02-12T04:00:00.000Z,Empresa TBEA Group (China),Socio bajo revision.,Mantener sus contratos firmados; defensa de sus inversiones en Coipasa y Pastos Grandes.,Temen que el nuevo gobierno anule sus contratos por -dano economico- para favorecer a Occidente.,Contratos firmados y respaldo geopolitico de China.,Renegociar terminos de transparencia para evitar la anulacion.,Demandado,60
139,132,2026-02-12T04:00:00.000Z,Academia (U.A. Tomas Frias),Fiscalizacion cientifica.,Exigen estudios de impacto ambiental reales y participacion tecnica en el proceso.,Temen el ecocidio del Salar de Uyuni por el uso excesivo de agua en EDL.,"Investigacion tecnica, foros academicos y opinion publica.",Liderar las auditorias ambientales independientes de los salares.,Demandante,70
140,132,2026-02-12T04:00:00.000Z,FENCOMIN,Interes gremial cooperativista.,Buscan participar en la cadena de valor o que se les permita explotar minerales asociados.,Temen que la -Nueva Ley- les prohiba el acceso a areas de los salares.,Capacidad de movilizacion masiva y presion legislativa.,Presionar por una -Ley Corta- que les permita asociarse con privados.,Demandante,75
141,132,2026-02-12T04:00:00.000Z,COMIBOL,Institucionalidad minera.,Recuperar el rol protagonico en la gestion de recursos evaporiticos (que YLB les -quito-).,Temen quedar obsoletos como institucion ante la creacion de nuevas agencias.,Experiencia historica y estructura administrativa.,Proponer una fusion o coordinacion estrecha YLB-COMIBOL.,Demandado,65
142,132,2026-02-12T04:00:00.000Z,Cooperacion Internacional (UE/BEI),Apoyo tecnico y financiero.,Asegurar que el litio boliviano sea -verde- y sostenible para el mercado europeo.,Temen que la corrupcion o la falta de transparencia impidan los desembolsos.,Financiamiento (5 MM Euros iniciales) y soporte tecnico.,Condicionar fondos a la aprobacion de una ley con estandares de transparencia.,Apoya al Demandante,70
143,132,2026-02-12T04:00:00.000Z,Basilio Marca Secretario General de FRUTCAS,"Necesidad de contar con Convenios para industrializar el Litio

Gobierno Central debe hacerse cargo de la industrialización del litio","Ser reconocido legítimamente como el dirigente de FRUTCAS

Necesita desgastar el liderazgo de Yamile Cruz para eliminarla como adversaria.","Teme que se realicen nuevas elecciones de la directiva de FRUTCAS y pierda su puesto de Secretario General.
Teme perder a sus bases sociales.

Teme que Yamile Cruz se fortalezca como actor clave.",Poder social: Capacidad de movilización de sectores no afines a Yamile Cruz de FRUTCAS,Generar división en las bases de FRUTCAS para quitar poder a Yamile Cruz,Apoya a Demandante,15
144,149,2026-03-24T04:00:00.000Z,Indígenas Tacana,Defensa del río como sujeto de derechos y usos tradicionales.,Calidad del agua y preservación de la biodiversidad cultural.,Extinción de peces y pérdida del patrimonio ancestral.,Denuncias ante SENAM/DNMA; consultas previas (Ley 183).,Negociar reparación o exigir intervención de la Fiscalía.,Demandante,15
145,149,2026-03-24T04:00:00.000Z,Indígenas Quechua,Seguridad alimentaria y defensa del ecosistema.,Preservación de conocimientos agrícolas y acuicultura.,Pérdida de fuentes de alimento para futuras generaciones.,Vigilancia comunitaria y monitoreo de calidad del agua.,Co-gestión de recursos o presión para planes de contingencia.,Demandante,15
146,149,2026-03-24T04:00:00.000Z,Coop. Aurífera S.A.,Continuidad de la explotación de oro en el cauce.,Rentabilidad económica y cumplimiento de contratos.,"Sanciones penales, civiles y cierre definitivo de faenas.",Presentar estudios de impacto; negociar compensaciones.,Migrar a tecnologías sin mercurio o suspender actividades.,Demandado,25
147,149,2026-03-24T04:00:00.000Z,Coop. AJAM S.R.L.,Obtención de licencias y exportación de mineral.,Generación de empleo local y liquidez financiera.,Quiebra financiera por paralización de actividades.,Presión política al Ministerio de Minería y Gob. Provincial.,Alianzas para financiar tecnologías limpias o reducir zona.,Demandado,25
148,149,2026-03-24T04:00:00.000Z,Gob. Municipal (Guanichi),Minería como motor de desarrollo económico local.,Ingresos fiscales y estabilidad social (empleo).,Revocación de concesiones y aumento de la conflictividad.,Emitir alertas ambientales y facilitar mesas de diálogo.,Crear fondo de compensación o reformar normativa local.,Demandado,55
149,149,2026-03-24T04:00:00.000Z,Gobernación del Beni,Desarrollo sostenible vs. recaudación minera.,Maximizar impuestos y promover expansión extractiva.,Daño reputacional y confrontación con organismos int.,Declarar zonas de interés ambiental; programas de restitución.,Anular normas pro-minería en el Madidi; fomentar ecoturismo.,Apoya a Demandado,30
150,149,2026-03-24T04:00:00.000Z,Min. Medio Ambiente (MMA),Fiscalización de leyes y derechos de la naturaleza.,Cumplir convenios internacionales; evitar sanciones.,Gestión deficiente que genere presión de ONGs y banca int.,Inspecciones in situ; detención de actividades por mercurio.,Activar consulta previa; solicitar asistencia técnica (BID/ONU).,Apoya a Demandado,60
151,149,2026-03-24T04:00:00.000Z,SENAM / IBMA,Control técnico y seguimiento de biodiversidad.,Disponibilidad de datos fiables para decisiones públicas.,Opacidad informativa que impida la rendición de cuentas.,Publicar informes de monitoreo; difusión en medios.,Implementar sensores de mercurio; vigilancia ciudadana.,Apoya a Demandante,30
152,149,2026-03-24T04:00:00.000Z,"ONGs (WWF, CIES, etc.)",Integridad del Parque Madidi y derechos indígenas.,Preservar ecosistemas únicos y salud ambiental.,Irreversibilidad del daño ecológico por metales pesados.,Litigio estratégico (CIDH); estudios independientes.,Mediación ambiental rápida o financiar proyectos alternativos.,Apoya a Demandante,60
153,149,2026-03-24T04:00:00.000Z,"Academia (UMSA, UAGRM)",Investigación del impacto del mercurio.,Generar evidencia científica para políticas públicas.,Pérdida de credibilidad si los hallazgos son ignorados.,Peritajes judiciales; capacitación técnica a comunidades.,Co-producción de conocimiento con líderes indígenas.,Apoya a Demandante,50
154,149,2026-03-24T04:00:00.000Z,Org. Internacionales,Vigilancia de DD.HH. y estándares ambientales.,Prevenir violaciones en la Amazonía boliviana.,Escándalos que afecten la imagen país y créditos int.,Recomendaciones oficiales; asistencia técnica y financiera.,Misiones de observación; incluir caso en agenda de la CIDH.,Demandante,70
155,149,2026-03-24T04:00:00.000Z,Río Tuichi (Sujeto),"Derecho a existir, fluir y regenerarse.",Integridad ecológica y flujo continuo sin tóxicos.,Desnaturalización y pérdida de reconocimiento jurídico.,Representación legal vía Amparos y Acciones de Tutela.,Exigir restauración total y suspensión de minería.,Demandante,80
156,158,2026-03-24T04:00:00.000Z,Indígenas Tacana,Defensa del río como sujeto de derechos y usos tradicionales.,Calidad del agua y preservación de la biodiversidad cultural.,Extinción de peces y pérdida del patrimonio ancestral.,Denuncias ante SENAM/DNMA; consultas previas (Ley 183).,Negociar reparación o exigir intervención de la Fiscalía.,Demandante,15
157,158,2026-03-24T04:00:00.000Z,Indígenas Quechua,Seguridad alimentaria y defensa del ecosistema.,Preservación de conocimientos agrícolas y acuicultura.,Pérdida de fuentes de alimento para futuras generaciones.,Vigilancia comunitaria y monitoreo de calidad del agua.,Co-gestión de recursos o presión para planes de contingencia.,Demandante,15
158,158,2026-03-24T04:00:00.000Z,Coop. Aurífera S.A.,Continuidad de la explotación de oro en el cauce.,Rentabilidad económica y cumplimiento de contratos.,"Sanciones penales, civiles y cierre definitivo de faenas.",Presentar estudios de impacto; negociar compensaciones.,Migrar a tecnologías sin mercurio o suspender actividades.,Demandado,25
159,158,2026-03-24T04:00:00.000Z,Coop. AJAM S.R.L.,Obtención de licencias y exportación de mineral.,Generación de empleo local y liquidez financiera.,Quiebra financiera por paralización de actividades.,Presión política al Ministerio de Minería y Gob. Provincial.,Alianzas para financiar tecnologías limpias o reducir zona.,Demandado,25
160,158,2026-03-24T04:00:00.000Z,Gob. Municipal (Guanichi),Minería como motor de desarrollo económico local.,Ingresos fiscales y estabilidad social (empleo).,Revocación de concesiones y aumento de la conflictividad.,Emitir alertas ambientales y facilitar mesas de diálogo.,Crear fondo de compensación o reformar normativa local.,Demandado,55
161,158,2026-03-24T04:00:00.000Z,Gobernación del Beni,Desarrollo sostenible vs. recaudación minera.,Maximizar impuestos y promover expansión extractiva.,Daño reputacional y confrontación con organismos int.,Declarar zonas de interés ambiental; programas de restitución.,Anular normas pro-minería en el Madidi; fomentar ecoturismo.,Apoya a Demandado,30
162,158,2026-03-24T04:00:00.000Z,Min. Medio Ambiente (MMA),Fiscalización de leyes y derechos de la naturaleza.,Cumplir convenios internacionales; evitar sanciones.,Gestión deficiente que genere presión de ONGs y banca int.,Inspecciones in situ; detención de actividades por mercurio.,Activar consulta previa; solicitar asistencia técnica (BID/ONU).,Apoya a Demandado,60
163,158,2026-03-24T04:00:00.000Z,SENAM / IBMA,Control técnico y seguimiento de biodiversidad.,Disponibilidad de datos fiables para decisiones públicas.,Opacidad informativa que impida la rendición de cuentas.,Publicar informes de monitoreo; difusión en medios.,Implementar sensores de mercurio; vigilancia ciudadana.,Apoya a Demandante,30
164,158,2026-03-24T04:00:00.000Z,"ONGs (WWF, CIES, etc.)",Integridad del Parque Madidi y derechos indígenas.,Preservar ecosistemas únicos y salud ambiental.,Irreversibilidad del daño ecológico por metales pesados.,Litigio estratégico (CIDH); estudios independientes.,Mediación ambiental rápida o financiar proyectos alternativos.,Apoya a Demandante,60
165,158,2026-03-24T04:00:00.000Z,"Academia (UMSA, UAGRM)",Investigación del impacto del mercurio.,Generar evidencia científica para políticas públicas.,Pérdida de credibilidad si los hallazgos son ignorados.,Peritajes judiciales; capacitación técnica a comunidades.,Co-producción de conocimiento con líderes indígenas.,Apoya a Demandante,50
166,158,2026-03-24T04:00:00.000Z,Org. Internacionales,Vigilancia de DD.HH. y estándares ambientales.,Prevenir violaciones en la Amazonía boliviana.,Escándalos que afecten la imagen país y créditos int.,Recomendaciones oficiales; asistencia técnica y financiera.,Misiones de observación; incluir caso en agenda de la CIDH.,Demandante,70
167,158,2026-03-24T04:00:00.000Z,Río Tuichi (Sujeto),"Derecho a existir, fluir y regenerarse.",Integridad ecológica y flujo continuo sin tóxicos.,Desnaturalización y pérdida de reconocimiento jurídico.,Representación legal vía Amparos y Acciones de Tutela.,Exigir restauración total y suspensión de minería.,Demandante,80
180,148,2026-04-27T04:00:00.000Z,Autoridad Nacional de Hidrocarburos (ANH),Entidad reguladora que supervisa la producción y comercialización de hidrocarburos.,Verificar el cumplimiento de los estándares de calidad y seguridad.,Que la crisis genere interrupciones en la cadena de suministro y aduanera. ," Realizar inspecciones in situ en plantas de mezcla y depots.
- Publicar reportes de cumplimiento y sanciones", Emisión de resoluciones correctivas y posibles multas a YPFB,Demandado,60
181,148,2026-04-27T04:00:00.000Z,"Organismos de control y regulación (AFCE, Autoridad Nacional de Protección Ambiental – ANPA)",- Verificar el cumplimiento de normas de calidad de combustible y de seguridad vial. ,- Garantizar que la actividad económica se realice bajo criterios ambientales y de seguridad aceptables. ,- Que se produzca un caso de contaminación o accidentes por defectos en la flota (daño a infraestructura ambiental).,"- **Realizar inspecciones** aleatorias de los tanques y plantas de distribución de YPFB.
- **Publicar reportes** de incumplimientos y aplicar sanciões administrativa.
- **Promover campañas de concientización** sobre los efectos de la baja calidad del combustible en la vida útil de los vehículos. ","**Imponer penas** (suspensión temporal de licencias, multas) si se detectan infracciones graves",Demandante,50
182,148,2026-04-27T04:00:00.000Z,Sociedad Civil y ONGs medioambientales,- Observar los efectos de la mala calidad de la gasolina en la salud pública y el ambiente.,"- Promover la transparencia y la rendición de cuentas del Estado y la empresa estatal.
- Presionar por políticas más sostenibles y menos dependientes de combustibles fósiles. | - Que la crisis se prolongue y se convierta en un problema de salud colectivo (contaminación del aire, accidentes automovilísticos). ",- **Lanzar campañas de información** y documentación de casos de daño a de forma incorrecta en salud.,"- **Presentar recursos judiciales** o amparos constitucionales para exigir la aplicación de normas de calidad.

- **Organizar marchas** y eventos de prensa para generar presión pública. ","**Buscar alianzas** con sindicatos y transportistas para formar un frente único.

**Utilizar la vía judicial** para obligar a YPFB a cumplir con estándares internacionales (ISO 9001, ISO 14001).

- **Proponer proyectos piloto** de uso de biocombustibles o e mobility como alternativa a mediano plazo. |
",Demandante,30
183,160,2026-06-16T04:00:00.000Z,Movimiento “Tupac Katari” (Bloque campesino altiplánico e indígena),"Exigir la renuncia del presidente Rodrigo Paz Pereira por la crisis económica, escasez de carburantes e incumplimiento de demandas sectoriales.","• Garantizar la participación real en la toma de decisiones.


• Protección de tierras y recursos naturales.


• Justicia social y abastecimiento económico.","• Represión policial y judicial.

• Criminalización de la protesta.

• Desgaste físico y pérdida de apoyo popular por los bloqueos prolongados.","• Bloqueos de rutas críticas (Laja-Desaguadero).

• Marchas hacia la Sede de Gobierno.

• Coordinación sindical con el transporte pesado y juntas vecinales.","• Mantener la presión en las carreteras hasta forzar la renuncia.

• Negociar un diálogo condicionado a la liberación de detenidos.

• Radicalizar el cerco a La Paz.",Demandante,80
184,160,2026-06-16T04:00:00.000Z,2. Ministerio de la Presidencia (Gobierno Constitucional / Ejecutivo),"Defender la continuidad del mandato presidencial, rechazar el pedido de dimisión y desactivar las movilizaciones.","• Mantener la estabilidad institucional.
• Preservar la agenda política del presidente.
• Evitar vacíos de poder o ceder ante el ala radical.","• Pérdida absoluta de gobernabilidad.
• Cerco total a la sede de gobierno.
• Fractura interna del gabinete ante la presión social.","• Convocar a diálogos con sectores fraccionados.


• Desplegar campañas de comunicación gubernamental.


• Coordinar intervenciones de rutas con el Ministerio de Gobierno.","Negociar de forma separada con las provincias menos radicales para debilitar el bloque.
• Aplicar medidas de excepción controladas.
• Ceder en demandas económicas pero no políticas.",Demandado,40
185,160,2026-06-16T04:00:00.000Z,Rodrigo Paz Pereira,Mantenerse en el cargo constitucional mientras responde a la presión de los bloqueos y marchas.,"• Consolidar su legitimidad y gestión.


• Controlar la crisis de suministro de combustibles.


• Garantizar la continuidad del modelo económico.","• Salida anticipada del poder.


• Pérdida de respaldo de las Fuerzas Armadas y Policía.


• Aislamiento político total.","• Emitir discursos de unidad nacional.


• Promulgar decretos de emergencia económica.


• Promover proyectos de inversión local rápidos.","Resistir la presión confiando en el desgaste del bloqueo.


• Evaluar un adelanto electoral concertado si la crisis se desborda.


• Alcanzar un pacto de gobernabilidad con la oposición moderada.",Demandado,15
186,160,2026-06-16T04:00:00.000Z,Asamblea Legislativa Plurinacional (Congreso Nacional),Definir la respuesta institucional a la crisis y viabilizar leyes de contingencia social o electoral.,"• Garantizar el cumplimiento constitucional.

• Preservar los intereses políticos de las respectivas bancadas.","• Pérdida de relevancia frente a la acción directa de las calles.


• Ser percibidos como cómplices del Ejecutivo o de los bloqueadores.","• Interpelar a ministros de Estado.


• Aprobar leyes de regularización o fiscalización.


• Servir de puente de mediación neutral.","• Apoyar reformas legales urgentes que calmen las bases.


• Promover un pacto de transición institucionalizado.


• Sostener el orden constitucional impidiendo salidas fácticas.",Apoya a Demandado,10
